Key,Summary,Issue Type,Status,Priority,Resolution,Created,Updated,Resolved,Linked Issues
ISR-2402,Hotfix - Rescheduling an Existing Appointment with Increased Install Time,Bug,Closed,Major,Fixed,6/1/2017 9:45,6/15/2017 14:25,6/15/2017 9:01,
ISR-2411,Precinct-Clicking on Precinct in the header from another page and creating another reservation does not display the triage,Bug,Closed,Major,Unresolved,6/2/2017 12:28,6/8/2017 17:15,,ISR-2276
ISR-2416,Make field does not display all the Makes for the selected year,Bug,Closed,Major,Cannot Reproduce,6/3/2017 9:57,6/3/2017 11:14,6/3/2017 11:14,ISR-1796
ISR-2417,Discrepancies between AgentUI and FitGuide,Bug,Resolved,Major,Fixed,6/3/2017 10:19,6/16/2017 8:05,6/16/2017 8:05,ISR-1798
ISR-2418,"Trim option not enabled even though Year, Make and Model are entered",Bug,Closed,Major,Cannot Reproduce,6/3/2017 10:47,6/3/2017 11:21,6/3/2017 11:21,ISR-1982
ISR-2419,The SKU section is missing on the Autotech Make Reservation page,Bug,Closed,Critical,Cannot Reproduce,6/3/2017 11:00,6/5/2017 9:10,6/5/2017 9:10,ISR-1800
ISR-2421,Autotech/Make Reservation-The SKU table has the border cut off on one side in the header,Bug,Closed,Minor,Fixed,6/5/2017 9:07,6/27/2017 12:29,6/23/2017 12:53,ISR-1603
ISR-2422,Next available appointment on the Map view is missing for selected date and/or time,Bug,Closed,Major,Fixed,6/5/2017 12:29,6/7/2017 12:38,6/7/2017 9:18,ISR-2308
ISR-2423,Precinct-Info Page-Cancel Reservation Request clears and reloads the page but the Triage is not displayed anymore,Bug,Closed,Major,Unresolved,6/5/2017 14:47,6/8/2017 15:06,,"ISR-2291, ISR-2292"
ISR-2425,Returning back to Info in Breadcrumb during reservation process removes the Vehicle info,Bug,Reopened,Critical,Fixed,6/5/2017 14:49,6/27/2017 15:23,6/7/2017 10:51,
ISR-2428,Next Available not showing in the Map View,Bug,Closed,Major,Fixed,6/5/2017 15:15,6/5/2017 15:20,6/5/2017 15:20,
ISR-2429,Precinct Store reflecting in Autotech reservation Store list view and Map View,Bug,Closed,Major,Fixed,6/5/2017 15:46,6/17/2017 17:27,6/7/2017 9:17,"ISR-2431, ISR-2307"
ISR-2431,Discrepancy in visually represented of Greyed Out store,Bug,Closed,Major,Fixed,6/5/2017 15:57,6/7/2017 12:01,6/7/2017 9:17,"ISR-2429, ISR-2307"
ISR-2434,No Error message displayed for previous date selection in the location lookup page,Bug,Closed,Major,Fixed,6/5/2017 16:45,6/7/2017 10:43,6/7/2017 10:43,"ISR-2327, ISR-2328"
ISR-2456,Non Autotech Agent-Cannot make an autotech reservation,Bug,Closed,Major,Cannot Reproduce,6/6/2017 13:22,6/7/2017 14:48,6/7/2017 8:24,"ISR-2446, ISR-2448, ISR-2450, ISR-2442"
ISR-2457,Cannot go to Info from the appointment slot page,Bug,Closed,Major,Fixed,6/6/2017 13:27,6/12/2017 16:37,6/9/2017 12:59,
ISR-2458,Location Lookup page-Next Available appt. always shows N/A,Bug,Closed,Major,Unresolved,6/6/2017 13:29,6/7/2017 14:45,,
ISR-2460,Dotcom Autotech reservation missing Created By in the Autotech Reservation view,Bug,Closed,Minor,Won't Fix,6/6/2017 14:45,6/16/2017 12:30,6/7/2017 8:16,ISR-2526
ISR-2466,"Unable to ignore Vehicle Info Optional filed ""Trim"" in order to get Service Info",Bug,Closed,Minor,Not Applicable,6/6/2017 16:42,6/6/2017 18:05,6/6/2017 18:05,ISR-1800
ISR-2468,Autotech appointment confirmation showing 15 minutes for skus with duration of 0 minutes,Bug,Closed,Major,Fixed,6/6/2017 18:17,6/9/2017 13:09,6/9/2017 12:58,ISR-2469
ISR-2469,Service and SKU Description missing in the Autotech reservation confirmation page,Bug,Closed,Critical,Fixed,6/6/2017 18:22,6/20/2017 17:55,6/16/2017 14:40,ISR-2468
ISR-2472,AASP-Location Lookup page-The info pop up contents do not match the requirements,Bug,Closed,Minor,Fixed,6/7/2017 11:14,6/16/2017 13:26,6/14/2017 12:02,ISR-2345
ISR-2473,There is no restriction on date selection beyond 60 days,Bug,Closed,Minor,Not a Bug,6/7/2017 12:27,6/7/2017 13:30,6/7/2017 13:14,ISR-2329
ISR-2474,ASP-The ASP location is not called out on the map,Bug,Closed,Critical,Unresolved,6/7/2017 13:26,6/20/2017 16:20,,"ISR-2530, ISR-2347"
ISR-2476,UAT - Location Lookup page-More Options-Next Available time displays system time zone,Bug,QA Complete,Critical,Fixed,6/7/2017 14:25,6/20/2017 19:12,6/17/2017 20:03,"ISR-2135, ISR-2306"
ISR-2477,Location Lookup page-Error displays when searching with date and time,Bug,Closed,Major,Cannot Reproduce,6/7/2017 16:15,6/9/2017 13:27,6/9/2017 13:27,ISR-2320
ISR-2478,"Location Lookup - No error displayed when an invalid city, state zip entered",Bug,Resolved,Minor,Won't Fix,6/8/2017 9:32,6/15/2017 14:49,6/9/2017 12:50,"ISR-2326, ISR-2361, ISR-2362"
ISR-2483,Location Lookup page-Map View-Next Available info is not contained,Bug,Closed,Major,Fixed,6/9/2017 9:34,6/16/2017 13:20,6/15/2017 15:23,ISR-2363
ISR-2484,Location Lookup-Store List displays a store 519 miles away,Bug,Closed,Major,Not a Bug,6/9/2017 9:49,6/9/2017 13:13,6/9/2017 12:47,"ISR-2366, ISR-2367"
ISR-2486,Autotech-Make Reservations-Service Info-Advanced Tab- Checkboxes missing ion IE,Bug,Closed,Critical,Fixed,6/9/2017 11:00,6/14/2017 12:46,6/14/2017 12:02,ISR-2121
ISR-2493,Precinct-Appt. Slot page-Find first does not display the correct time,Bug,Closed,Minor,Fixed,6/12/2017 9:03,6/16/2017 13:29,6/16/2017 8:30,"ISR-2238, ISR-2243"
ISR-2500,Unable to create an Autotech reservation,Bug,Open,Minor,Unresolved,6/12/2017 17:12,6/17/2017 11:59,,
